colour	key	showSelected2	fill	group
#C49A00	Andorra	Europe et Asie centrale	#C49A00	1
#00C094	United Arab Emirates	Moyen orient et Magreb	#00C094	2
#A58AFF	Afghanistan	Asie du sud	#A58AFF	3
#53B400	Antigua and Barbuda	Amérique latine et Caraïbes	#53B400	4
#C49A00	Albania	Europe et Asie centrale	#C49A00	5
#C49A00	Armenia	Europe et Asie centrale	#C49A00	6
#FB61D7	Angola	Afrique subsaharienne	#FB61D7	7
#53B400	Argentina	Amérique latine et Caraïbes	#53B400	8
#F8766D	American Samoa	Asie de l'est et pacifique	#F8766D	9
#C49A00	Austria	Europe et Asie centrale	#C49A00	10
#F8766D	Australia	Asie de l'est et pacifique	#F8766D	11
#53B400	Aruba	Amérique latine et Caraïbes	#53B400	12
#C49A00	Azerbaijan	Europe et Asie centrale	#C49A00	13
#C49A00	Bosnia and Herzegovina	Europe et Asie centrale	#C49A00	14
#53B400	Barbados	Amérique latine et Caraïbes	#53B400	15
#A58AFF	Bangladesh	Asie du sud	#A58AFF	16
#C49A00	Belgium	Europe et Asie centrale	#C49A00	17
#FB61D7	Burkina Faso	Afrique subsaharienne	#FB61D7	18
#C49A00	Bulgaria	Europe et Asie centrale	#C49A00	19
#00C094	Bahrain	Moyen orient et Magreb	#00C094	20
#FB61D7	Burundi	Afrique subsaharienne	#FB61D7	21
#FB61D7	Benin	Afrique subsaharienne	#FB61D7	22
#00B6EB	Bermuda	Amérique du nord	#00B6EB	23
#F8766D	Brunei Darussalam	Asie de l'est et pacifique	#F8766D	24
#53B400	Bolivia	Amérique latine et Caraïbes	#53B400	25
#53B400	Brazil	Amérique latine et Caraïbes	#53B400	26
#53B400	Bahamas, The	Amérique latine et Caraïbes	#53B400	27
#A58AFF	Bhutan	Asie du sud	#A58AFF	28
#FB61D7	Botswana	Afrique subsaharienne	#FB61D7	29
#C49A00	Belarus	Europe et Asie centrale	#C49A00	30
#53B400	Belize	Amérique latine et Caraïbes	#53B400	31
#00B6EB	Canada	Amérique du nord	#00B6EB	32
#FB61D7	Congo, Dem. Rep.	Afrique subsaharienne	#FB61D7	33
#FB61D7	Central African Republic	Afrique subsaharienne	#FB61D7	34
#FB61D7	Congo, Rep.	Afrique subsaharienne	#FB61D7	35
#C49A00	Switzerland	Europe et Asie centrale	#C49A00	36
#FB61D7	Cote d'Ivoire	Afrique subsaharienne	#FB61D7	37
#53B400	Chile	Amérique latine et Caraïbes	#53B400	38
#FB61D7	Cameroon	Afrique subsaharienne	#FB61D7	39
#F8766D	China	Asie de l'est et pacifique	#F8766D	40
#53B400	Colombia	Amérique latine et Caraïbes	#53B400	41
#53B400	Costa Rica	Amérique latine et Caraïbes	#53B400	42
#53B400	Cuba	Amérique latine et Caraïbes	#53B400	43
#FB61D7	Cape Verde	Afrique subsaharienne	#FB61D7	44
#53B400	Curacao	Amérique latine et Caraïbes	#53B400	45
#C49A00	Cyprus	Europe et Asie centrale	#C49A00	46
#C49A00	Czech Republic	Europe et Asie centrale	#C49A00	47
#C49A00	Germany	Europe et Asie centrale	#C49A00	48
#00C094	Djibouti	Moyen orient et Magreb	#00C094	49
#C49A00	Denmark	Europe et Asie centrale	#C49A00	50
#53B400	Dominica	Amérique latine et Caraïbes	#53B400	51
#53B400	Dominican Republic	Amérique latine et Caraïbes	#53B400	52
#00C094	Algeria	Moyen orient et Magreb	#00C094	53
#53B400	Ecuador	Amérique latine et Caraïbes	#53B400	54
#C49A00	Estonia	Europe et Asie centrale	#C49A00	55
#00C094	Egypt, Arab Rep.	Moyen orient et Magreb	#00C094	56
#FB61D7	Eritrea	Afrique subsaharienne	#FB61D7	57
#C49A00	Spain	Europe et Asie centrale	#C49A00	58
#FB61D7	Ethiopia	Afrique subsaharienne	#FB61D7	59
#C49A00	Finland	Europe et Asie centrale	#C49A00	60
#F8766D	Fiji	Asie de l'est et pacifique	#F8766D	61
#F8766D	Micronesia, Fed. Sts.	Asie de l'est et pacifique	#F8766D	62
#C49A00	Faeroe Islands	Europe et Asie centrale	#C49A00	63
#C49A00	France	Europe et Asie centrale	#C49A00	64
#FB61D7	Gabon	Afrique subsaharienne	#FB61D7	65
#C49A00	United Kingdom	Europe et Asie centrale	#C49A00	66
#53B400	Grenada	Amérique latine et Caraïbes	#53B400	67
#C49A00	Georgia	Europe et Asie centrale	#C49A00	68
#FB61D7	Ghana	Afrique subsaharienne	#FB61D7	69
#C49A00	Greenland	Europe et Asie centrale	#C49A00	70
#FB61D7	Gambia, The	Afrique subsaharienne	#FB61D7	71
#FB61D7	Guinea	Afrique subsaharienne	#FB61D7	72
#FB61D7	Equatorial Guinea	Afrique subsaharienne	#FB61D7	73
#C49A00	Greece	Europe et Asie centrale	#C49A00	74
#53B400	Guatemala	Amérique latine et Caraïbes	#53B400	75
#F8766D	Guam	Asie de l'est et pacifique	#F8766D	76
#FB61D7	Guinea-Bissau	Afrique subsaharienne	#FB61D7	77
#53B400	Guyana	Amérique latine et Caraïbes	#53B400	78
#F8766D	Hong Kong SAR, China	Asie de l'est et pacifique	#F8766D	79
#53B400	Honduras	Amérique latine et Caraïbes	#53B400	80
